 DETECTED,BUS
AP16 TB 2528,AP 16 TB 2528
TSOOUA 8494,TS 09 UA 8494
TS.12 0p8284,TS 12 UD 8284
TS12 UD.9790,TS 12 UD 8790
TS 12 UE 0374,TS 12 UE 0374
TS 12 UE 0375,TS 12 UE0375
TS[6 UA 6899,TS 16 UA 6899
AP28TB 2535,AP 28 TB 2535
AP 02 X 4798,AP 02 X 4798
Apo3y 2332,AP 03 Y 2332
AP 03 Y 2527,AP 03 Y 2527
(~APOgTY1313,AP 04 TX 1313
APOAW 8099,AP 04 W 8099
APO4 W 8317,AP 04 W 8317
APO4X 6799,AP 04 X 6799
APO7Y 8304,AP 07 Y 8304
AP15 Y8402,AP 15 Y 8402
AP16 DB 1809,AP 16 TB 1809
AP16 TB 1944,AP 16 TB 1944
AP16 7B2079,AP 16 TB 2079
AP16 TD 8288,AP 16 TD 8288
AP16TG 0936,AP 16 TG 0936
API6 Tq 1879,AP 16 TG 1879
APICTH  1611,AP 16 TH 1611
APZITT 3621,AP 21 TT 3621
APAITX 7315,AP 21 TX 7315
AP22 X 2767,AP 22 X 2767
PAP23Y 2143,AP 23 Y 2143
AP24x 9149,AP 24 X 9149
"AP26 ""TE1163",AP 26 TE 1163
AP26 Y 9699,AP 26 Y 9699
AP 26 9863,AP 26 Y 9863
AP 29 TA 5046,AP 29 TA 5046
AP 29 TA 5084,AP 29 TA 5084
AP 30 X 5688,AP 30 X 5688
AP3OX 6669,AP 30 X 6669
AP3ox 82171,AP 30 X 8217
Ap36 X9592,AP 36 X 9592
AP36 Y0468,AP 36 Y 0468
APB6Y 0724,AP 36 Y 0724
